#_,_
button.back,Geri
base.treasure.4eef09b0-311c-4a21-bed3-b8b320618218.text,Bir Level atlarsın
base.treasure.0e5c6c75-98ab-4bee-b3d8-98018b63a50d.text,Bir Level atlarsın
base.treasure.53998110-a846-46d9-8e0f-3986f5a3038d.text,Bir Level atlarsın
base.treasure.22f8ccc0-072b-4c86-ab72-0d12bec6fe01.text,Bir Level atlarsın <br> Bu kartı yalnızca bir işe alım oyunundaysa kullanabilirsiniz (ona sahip olursa olsun). Hireling'i atın.
base.treasure.11a0ccea-b9ac-4a91-a00e-a6a227da377c.text,"Bir Level atlarsın <br> Bu kart sadece savaştan sonra oynanabilir, ancak savaşınız olması gerekmez."
base.treasure.b7770f9c-5ec6-40a3-813c-45ecec1758ca.text,Bir Level atlarsın
base.treasure.9957a953-ba2b-4dd6-b74e-a74a0421c672.text,Bir Level atlarsın <br> En yüksek seviyedeki bir oyuncuysan yada bunu başka bir oyuncu ile paylaşıyorsan kullanamazsın.
base.treasure.1c542973-9445-452b-8bb9-c8de9c5e431b.text,Kaçış zarınıza +2 ekler.
base.treasure.9b45cc0d-e712-40df-b3f6-f8367737a241.text,Herhangi bir savaş sırasında kullanın.Seçilen tarafa +3 güç ekler. Sadece bir kez kullanılabilir.
base.treasure.572c199d-5ef9-4e96-be7b-1878fc121faf.text,"Yanınızda savaşan tam kopyayı çağırır, böylece savaş gücünüzü ikiye katlarsınız. Doppleganger'ı yalnızca savaştaki tek oyuncu olduğunuzda kullanabilirsiniz. Sadece bir kez kullanılabilir."
base.treasure.b493204a-28ba-4ff5-b17f-22bf0e0241b1.text,Herhangi bir savaş sırasında kullanın. Seçilen tarafa  +5 güç ekler. Sadece bir kez kullanılabilir.
base.treasure.f7cd336c-60b8-4e61-a4fe-cb1e6dce2c39.text,Herhangi bir savaş sırasında kullanın. Seçilen tarafa  +3 güç ekler. Sadece bir kez kullanılabilir.
base.treasure.bab711fd-f1c8-4524-8ab4-6ad7ad2a78c4.text,Birisi herhangi bir nedenle bir savaştan başarılı bir şekilde kaçtığında kullanın. Kaçışlarını yeniden yuvarlamalıdırlar (ilk kez otomatik olsa bile). Sadece bir kez kullanılabilir.
base.treasure.fd24ac44-4967-4a73-b8aa-06079d2b0905.text,Herhangi bir savaş sırasında kullanın. Seçilen tarafa  +3 güç ekler. Sadece bir kez kullanılabilir.
base.treasure.c6a15483-66f3-4dbe-93be-cb1fb252e896.text,"Herhangi bir savaş sırasında kullanın. Savaştaki tüm canavarları atın. Hiçbir hazine kazanılmaz, ancak oyuncu odayı yağmalayabilir. Sadece bir kez kullanılabilir."
base.treasure.3dc3ee77-f659-4958-bbad-e96d2150b04e.text,(Elfler için +3)
base.treasure.af149629-7862-46fe-ae34-032d32fe4426.text,Herhangi bir dövüşten bir veya iki oyuncu için otomatik kaçışa izin verir. Sadece bir kez kullanılabilir.
base.treasure.b2dd96da-6302-4d5d-8f43-e1fb2efb10e4.text,Kaçışınız başarısız olduğunda kullanın. Otomatik olarak kaçarsınız. Sadece bir kez kullanılabilir.
base.treasure.5f2391a7-e51d-4404-a5ee-f2f9edaa6a2b.text,"Sizin levelinizden daha yüksek bir oyuncu, bir canavara karşı yardım talebinizi reddedemez, hatta bir ödül isteyemez. Yardımcınızın Kneepads tarafından zorlandığı için Level kazanamazsınız."
base.treasure.63f73b7d-acc0-4122-a612-4840df4d776a.text,Herhangi bir nedenle zarı attıktan sonra oynayın. Seçtiğiniz sayı üstte olacak şekilde zarı çevirin. Bu senin yeni zarın.<br>Yalnızca bir kez kullanılabilir.
base.treasure.c75e93c1-aa61-4183-b61b-4e6865310279.text,Lambayı yalnızca kendi turunuzda kullanabilirsin. Canavarı ortadan kaybeder ve canavarın hazinesini kazanırsınız ancak level kazanamazsın. Sadece bir kez kullanılabilir.
base.treasure.4a31ba6f-b418-4549-91a2-2ff916079b76.text,Herhangi bir savaş sırasında kullanın.Seçilen tarafa  +5 güç ekler. Sadece bir kez kullanılabilir.
base.treasure.38254fbc-79f9-48fc-ae10-ebe6ee0fbb4d.text,Herhangi bir savaş sırasında kullanın. Seçilen tarafa  +2 güç ekler. Sadece bir kez kullanılabilir.
base.treasure.0c2c5abd-aea7-418e-9e9e-a2e19fe3d2ef.text,"Herhangi bir savaş sırasında kullanın. Herhangi bir canavarı, hazinesini geride bırakarak uçan bir papağan haline getirir. Sadece bir kez kullanılabilir."
base.treasure.adb879cd-9d2b-408a-bac2-54a0bcad9e18.text,Herhangi bir savaş sırasında kullanın. Seçilen tarafa  +2 güç ekler veya <b> yüzen burnu anında öldürür </b>. Sadece bir kez kullanılabilir.
base.treasure.89f5f35f-d81e-4a95-8cc5-a9c188522bce.text,Herhangi bir savaş sırasında kullanın. Seçilen tarafa  +2 güç ekler. Sadece bir kez kullanılabilir.
base.treasure.ec6ba1d5-3ecf-40a2-82b1-592fc7799d5c.text,Dikkat dağıtmak için herhangi bir savaş sırasında oynayın. Seçilen tarafa  +5 güç ekler. Sadece bir kez kullanılabilir.
base.treasure.6677b88d-6f08-49e9-adc0-5125f4549f41.text,"Hey, hiç yoktan iyidir! <br> Seviye 8 veya altındaki herhangi bir canavardan otomatik olarak kaçmak için bu Itemi taşıyor olsanız bile atabilirsiniz."
base.treasure.7bc68e56-6b74-4c4e-80f1-d76e7456759b.text,Kapıyı açarken çektiğiniz lanet kartların hiçbir etkisi yoktur. (Diğer oyuncular tarafından yapılan lanetler sizi hala etkileyecektir.)
base.treasure.8ca5bc1d-d31a-404f-8a2c-08d684acb661.text,Herhangi bir savaş sırasında kullanın. Seçilen tarafa  +2 güç ekler. Sadece bir kez kullanılabilir.
base.treasure.93c7eb95-8657-4ae8-bdb7-21ab2029cbd0.text,"Herhangi bir savaş sırasında oynayın. Başka herhangi bir oyuncu (sizin seçiminiz) canavar (lar) ile savaşır, normal yardım isteyebilir ve kazanırsa hazineyi ve Levelleri alır. Orijinal oyuncu daha sonra sırasına devam eder ve savaşın kazanılıp kazanılmadığını veya kaybedilip kaybetmediğini odaya yağabilir. Sadece bir kez kullanılabilir."
base.treasure.d6b481cd-18fc-4de3-a5e3-95f0858bf832.text,"Bu melodik enstrüman düşmanlarınızı büyülüyor ve kaçış zarınız için +3 veriyor. Savaştan başarılı bir şekilde kaçarsanız, çıkış yolunda bir hazine kazanırsın."
base.treasure.c337a23b-3fa8-4295-96b7-e3706cdba824.text,İstediğiniz herhangi bir kartı bulmak için ıskartaları gözden geçirin. O kartı al ve bunu at. Yalnızca bir kez kullanılabilir.
base.treasure.bd195b65-4e6a-4674-aa26-b6562b50a7d2.text,Herhangi bir laneti iptal eder. İstediğiniz zaman oynayın. Sadece bir kez kullanılabilir.
base.treasure.bb8ffb65-35e4-4dcf-9860-af3bd016953b.text,Herhangi bir savaş sırasında kullanın. Sadece elflere yardım etmek için. Savaştaki her elf için +2. Sadece bir kez kullanılabilir.
base.treasure.f233b5ea-f811-4ea6-b518-cda41543639a.text,"Ekstra 1 item taşımanıza olanak sağlar. Bu kartı kaybederseniz, item de gider. <br> Herhangi bir canavardan kaçmak için kullanabilirsin."
base.treasure.a685c4ed-40a4-4cd8-a640-02aa65d2c768.text,Hemen üç hazine kartı çek. Bu kartı elinizden oynarsanız yüzleri kapalı yerden alırsanız yüzleri açık çekersiniz.
base.treasure.d45aaf27-559f-488f-a477-d6858bb56fad.text,Levelini çalmak istediğiniz oyuncuyu seçin. Bir level kazanırsın. Seçtiğin oyuncu bir level kaybeder.
kin.item.requirements.class.cleric,Sadece din adamı tarafından kullanılabilir
kin.item.requirements.class.thief,Sadece hırsız tarafından kullanılabilir
kin.item.requirements.class.warrior,Sadece Savaşçı tarafından kullanılabilir
kin.item.requirements.class.wizard,Sadece büyücü tarafından kullanılabilir
kin.item.requirements.race.human,Sadece insan tarafından kullanılabilir
kin.item.requirements.race.dwarf,Sadece cüce tarafından kullanılabilir
kin.item.requirements.race.elf,Yalnızca Elf tarafından kullanılabilir
kin.item.requirements.race.halfling,Yalnızca yarı yarıya kullanılabilir
kin.item.requirements.gender.male,Sadece erkekler tarafından kullanılabilir
kin.item.requirements.gender.female,Sadece kadınlar tarafından kullanılabilir
kin.item.requirements.notclass.cleric,Din adamı tarafından kullanılamaz
kin.item.requirements.notclass.thief,Hırsız tarafından kullanılamaz
kin.item.requirements.notclass.warrior,Savaşçı tarafından kullanılamaz
kin.item.requirements.notclass.wizard,Büyücü tarafından kullanılamaz
kin.item.requirements.notrace.human,İnsan tarafından kullanılamaz
kin.item.requirements.notrace.dwarf,Cüce tarafından kullanılamaz
kin.item.requirements.notrace.elf,Elf tarafından kullanılamaz
kin.item.requirements.notrace.halfling,Halfling tarafından kullanılamaz
rules.askingforhelp.1,Yardım iste
rules.askingforhelp.2,"Kendi başınıza bir savaş kazanamıyorsanız, başka bir oyuncudan size yardım etmesini isteyebilirsiniz. Eğer reddederlerse, hepsi sizi geri çevirene veya birisi yardım edene kadar başka bir oyuncu sorabilirsiniz. Sadece bir oyuncu size yardımcı olabilir ve savaş gücünü sizinkine ekleyebilir. Herkes savaşınızı etkilemek için kart oynayabilir! <br> <br> Muhtemelen yardım etmek için birine rüşvet vermeniz gerekecek. Yardımcınıza şu anda taşıdığınız herhangi bir ürün veya canavarın sahip olduğu herhangi bir hazine kartını sunabilirsiniz. Canavarın hazinesinin bir kısmını sunarsanız, önce seçip seçmediklerini ya da önce seçip seçmediğinizi kabul etmelisiniz. Örneğin, bir savaşçı size yardımcı olursa, toplamınız canavarla bağlarsa kazanırsınız ve yardımcısı, savaş güçlerine eklemek için kartları kızdırabilir ve atabilir (ancak savaş başına sadece bir kez, canavar başına bir kez değil). Wannabe vampiriyle karşılaşıyorsanız ve bir din adamı size yardımcı olursa, otomatik olarak kovalayabilirler. Ancak, saçma balçıkla karşılaşıyorsanız ve bir elf size yardımcı olursa, canavarın savaş gücü 4 oranında artırılır (siz de bir elf ve canavarın savaş gücü zaten artmış değilse). <br> <br> Birisi Canavarı öldürmenize, atmanıza, hazineleri çizmenize (aşağıya bakınız) ve canavar kartındaki özel talimatları izlemenize yardımcı olur. Her öldürülen canavar için Level atlıyorsunuz. Yardımcınız herhangi bir Levelye çıkmaz. . . Yardımcı bir elf değilse, bu durumda öldürülen her canavar için bir Level kazanırlar. Hazine kartları daha sonra ulaştığınız anlaşmaya göre dağıtılır. Kazanmak için savaşıyorsanız bu yetenekler işe yaramaz - ve birisini yardım etmeye zorlarsanız ve daha sonra kavga galibiyet için bir olursa, yardımcınız ceza olmadan geri çekilir. Ancak, birisine gönüllü olarak yardım ederseniz, sadece oyunu kazanmak üzere oldukları için geri çekilmezsiniz - bu yüzden dikkat edin!"
rules.askingforhelp.3,Kaçmak
rules.askingforhelp.4,"Kimse sana yardım etmeyecekse. . . Ya da birisi yardım etmeye çalışırsa ve parti üyeleriniz müdahale ederse, ikiniz hala kazanamazsınız. . . Kaçmalısın. Herhangi bir Level veya hazine alamazsınız. Odayı yağmalamıyorsun bile. Ve her zaman zarar görmeden kaçmazsınız. . . 5 veya daha fazla kaçarsınız. Bazı sınıf ve ırk yetenekleri ve bazı hazineler tüm canavarlardan kaçmayı kolaylaştırır veya zorlaştırır. Ve bazı canavarlar size sadece o canavar için rulonuza bir bonus veya ceza verir. <br> <br> Bir canavardan kaçamazsanız, kartında açıklandığı gibi sizin için kötü şeyler yapar. Birden fazla canavardan kaçıyorsanız, her birinden kaçmak için ayrı ayrı yuvarlanırsınız, seçtiğiniz herhangi bir sırayla ve sizi yakaladığı anda sizi yakalayan her birinden kötü şeyler yaşarsınız. İki oyuncu işbirliği yapıyor ve yine de canavar (lar) ı yenemezse, ikisi de kaçmalıdır. Her canavar için ayrı olarak yuvarlanırlar. Canavar (lar) ikisini de yakalayabilir. Tüm kaçış rulolarını çözdükten sonra, canavar (lar) ı atın."
rules.characterstats.1,Karakter İstatistikleri
rules.characterstats.2,"Her karakter temel olarak üç istatistikle silah, zırh ve sihirli itemlerden oluşan bir koleksiyondur: Level, ırk ve sınıf. Kurallar veya kartlar Levelnize, büyük harfle yazıldığında, bu sayı anlamına gelir. Bir canavarı öldürdüğünüzde veya bir kart yaptığınızı söylediğinde bir Level kazanırsınız. Ayrıca satın almak için eşyalar satabilirsiniz (itemlere bakın). Levelniz asla altına giremez. Ancak, bir lanetten vurulursanız veya başka bir ceza çekerseniz, savaş gücünüz negatif olabilir. <br> <br > Sınıf: Temel sette karakterler savaşçılar, büyücülar, hırsızlar veya din adamları olabilir. Önünüzde sınıf kartınız yoksa, sınıfınız yok. Evet, biliyorum, bunu zaten yaptık. Her sınıfın kartlarda gösterilen özel yetenekleri vardır. Kartını önünüzde oynadığınız anda bir sınıfın yeteneklerini kazanırsınız ve o kartı atar atmaz kaybedersiniz. Bazı sınıf yetenekleri atışlarla güçlendirilir. Yetenek aksi belirtilmedikçe, özel bir yeteneğe güç sağlamak için herhangi bir kartı oynatabilirsiniz veya elinizde atabilirsiniz. Yeteneklerin ne zaman kullanılabileceği için sınıf kartlarına bakın. Sıranız sırasında veya bir atlama pencereniz olduğunda, savaş sırasında bile bir sınıf kartı atabilirsiniz: “Artık bir büyücü olmak istemiyorum.” Bir sınıf kartı attığınızda, başka bir sınıf kartı oynayana kadar sınıfsız olursunuz. Süper Munchkin kartını oynamadığınız sürece aynı anda birden fazla sınıfa ait olmayabilirsiniz. Önünüzde Irk kartınız yoksa, insansınız. İnsanların özel bir yetenekleri yoktur. Yukarıdaki sınıflar için kurallar, Irklar için de geçerlidir. Yarı türlü kartı oynamadığınız sürece aynı anda birden fazla Irka ait olmayabilirsiniz."
rules.characterstats.3,Süper Munchkin ve Yarı Irk
rules.characterstats.4,"Bu kartlar, uygun bir kartınız (Süper Munchkin için sınıf, yarım cins için Irk) eklemek için bir sınıf veya Irk oynamanın yasal olduğunda oynanabilir. Aynı sınıf veya Irk kartından birden fazlasını aynı anda oyunda alamazsınız. itemler, bu sınıfa karşı ceza veren canavarlar bu cezalara maruz kalır) ve dezavantajların hiçbiri (o sınıfa yasaklanan eşyaları donatabilirsiniz ve canavarlar sınıfınız nedeniyle bonus almaz). Sınıfın maliyeti olan bir yeteneği varsa, yine de ödemelisiniz - o kadar süper değilsiniz! İki sınıfınız olurken süper munchkin oynarsanız, her iki sınıfın tüm normal avantajlarına ve dezavantajlarına sahip olursunuz. (Yukarıdakilerin tümü de yarı tür, sadece Irklar için geçerlidir.)"
rules.death.1,Ölüm
rules.death.2,"Eğer ölürsen, tüm eşyalarını kaybedersiniz. Sınıflarınızı, Irklarınızı ve Level (ve öldüğünüzde sizi etkileyen lanetler) tutuyorsunuz - yeni karakteriniz tıpkı eskisine benzeyecektir. Yarı tür veya süper munchkin varsa, bunları da saklayın. Öldükten sonra, kalan canavarlardan kaçmak zorunda değilsiniz. En yüksek Levelye sahip oyuncudan başlayarak, herkes bir kart seçer. Herkes bir kart aldığında, gerisini atın. Cesaretiniz kartlar biterse, sert. Yağma kartları oyuncuların ellerine geçer. Ölü karakterler herhangi bir nedenle kart alamaz, hatta hayırseverlik bile yapamaz ve oyunu Level atlayamaz veya kazanamaz. ve sınıf veya Irk yetenekleri. . . Ancak, diğer oyunculardan yardım veya hediye almadığınız sürece kartınız yok. Bir sonraki dönüşünüzde, her güverteden dört yüz aşağı kartı çizersiniz ve tıpkı oyuna başladığınızda olduğu gibi istediğiniz yasal kartları oynarsınız. O zaman sıranız normal şekilde devam eder."
rules.monsters.1,Canavarlar
rules.monsters.2,"Yüze çekilirse, kapı aşamasını açma sırasında, canavarlar hemen onları çizen kişiye saldırır. Sorun aramak için kendi dönüşü ya da dolaşan canavar kartı ile başka bir oyuncunun mücadelesine katılmak için oynadı. (Bkz. Birden fazla canavarla mücadele) <br> <br> Her canavar kartı, karttaki isim çoğul olsa bile tek bir canavardır."
rules.monsters.3,Canavar geliştiriciler
rules.monsters.4,"Canavar arttırıcılar olarak adlandırılan bazı kartlar, bireysel canavarların savaş gücünü yükseltir veya düşürür. Ayrıca canavarların değer verdiği hazinelerin sayısını da etkiler. Canavar arttırıcılar herhangi bir savaş sırasında herhangi bir oyuncu tarafından oynanabilir. <br> <br> <br> Tek bir canavardaki tüm güçlendiriciler bir araya gelir. Bir savaşta birden fazla canavar varsa, her bir geliştiriciyi oynayan kişi hangi canavarın uygulandığını seçmelidir. <br> <br> <br> İstisna: Bir canavarı geliştiren herhangi bir şey de eşini geliştirir. . . Eski, öfkeli ve eş tek bir canavarda oynanırsa, herhangi bir sırayla, eski öfkeli bir canavar ve eski öfkeli eşiyle karşı karşıya kalırsınız. İyi şanlar . . ."
rules.monsters.5,Birden fazla canavarla savaşmak
rules.monsters.6,"Bazı kartlar (dolaşan canavar gibi) rakiplerinizin savaşa katılmaları için diğer canavarları göndermelerine izin verir. Birleşik savaş güçlerini yenmelisiniz. Sizi sadece Levelnizle savaşmaya zorlamak gibi özel yetenekler tüm dövüşe başvurun. Doğru kartlarınız varsa, bir canavarı savaştan ortadan kaldırabilir ve normal olarak diğer (ler) ile savaşabilirsiniz, ancak biriyle savaşmayı ve diğerinden kaçmayı seçemezsiniz. Bir canavarı ortadan kaldırırsanız, ancak diğerinden koşarsanız, herhangi bir Level veya hazine alamazsınız!"
rules.monsters.7,Ölümsüz canavarlar
rules.monsters.8,"Bazı canavarlar ölümsüz etiketlenir. Gezici bir canavar kartı kullanmadan, diğer ölümsüz yardım etmek için elinizden herhangi bir ölümsüz canavar oynayabilirsiniz. Bir canavar ölümsüz yapmak için kullanılabilecek bir kartınız varsa, bu kuralı kullanmak için onu açık olmayan bir canavarla oynayabilirsiniz."
rules.overview.1,Genel bakış
rules.overview.2,Karakter yaratma
rules.overview.3,"Herkes Sınıf Olmadan Level 1 insan olarak başlar. (Heh, heh.) Munchkin karakterleri erkek ya da kadın olabilir. Başlangıç ​​oyuncusunun sırasından önce, her oyuncunun elinden Irk, sınıf ve ürün kartları oynama fırsatı vardır."
rules.overview.4,Oyunun Hedefi
rules.overview.5,"Level 10'a ulaşan ilk oyuncu kazanır. . . Ancak, bir kart özellikle başka bir yol kazanmanıza izin vermedikçe, bir canavarı öldürerek 10. Levelye ulaşmalısınız."
rules.overview.6,Aşamaları çevir
rules.overview.7,"Sıranız önceki oyuncunun dönüşü biter bitmez başlar. Kartlarınız istediğiniz şekilde düzenlendiğinde, Faz 1'e gidin. Eğer bir canavarsa, onunla savaşmalısınız. Kart bir lanet ise hemen sizin için geçerlidir ve atılır (kalıcı bir etkisi yoksa veya kartı yaklaşan bir etkiyi hatırlatırsanız). Başka bir kart çizerseniz, elinize koyabilir veya hemen oynatabilirsiniz."
rules.overview.8,"(2) Sorun arayın/odayı yağmalayın <br> <br> Aşama 1'de bir canavarla savaştıysanız, bu aşamayı atlayın ve 3'e gidin. Kapıyı ilk açtığınızda bir canavar çizmediyseniz, İki seçenek: ya sorun arayın ya da odayı yağmalayın. Yardım almaya güvenebileceğinizden emin değilseniz, işleyemeyeceğiniz bir canavar oynamayın! senin elin."
rules.overview.9,"(3) Charity <br> <br> Elinizde beşten fazla kart varsa, sizi beş veya altına almak için yeterli kart oynamalısınız - örneğin, lanetler oynayabilir, elinizden eşya satabilir veya oynayabilirsiniz Masaya itemler. Elinizi beş karta azaltamıyorsanız veya istemiyorsanız, aşırı kartları en düşük Levelye sahip oyuncuya vermelisiniz. Oyuncular en düşük Levelye bağlıysa, kartlar mümkün olduğunca eşit olarak bölünür, ancak daha büyük artıkları alan size kalmıştır. En düşük veya en düşük için bağlanmışsanız, fazlalığı atın. Sadaka biter bitmez, bir sonraki oyuncunun sırası başlar."
rules.overview.10,Ne zaman harekete geçebilirsin
rules.overview.11,Bu eylemleri sıranızda veya bir atlama pencereniz olduğunda istediğiniz zaman gerçekleştirebilirsiniz: <br> <br> • Bir sınıf veya Irkı atın. • Bir lanet oynayın.
rules.overview.12,"Bu eylemleri, sıranızda veya bir atlama pencereniz olduğunda, savaşta olmadığınız sürece herhangi bir zamanda gerçekleştirebilirsiniz: <br> <br> • Bir itemi başka bir oyuncuyla takas (diğer oyuncu olmayabilir <br> • Hangi itemleri donattığınız eşyaları değiştirin."
rules.overview.13,"Bu eylemleri kendi sıranızda gerçekleştirebilirsiniz: <br> <br> • Yeni bir sınıf veya Irk kartı (istediğiniz zaman) oynayın. <br> • Bir ürün oynatın (çoğu item savaş sırasında oynanamaz, ancak bazı tek atış itemler bunu söylerse yapabilir)"
rules.treasures.1,Hazineler
rules.treasures.2,"Hazine kartları arasında kalıcı ve “tek atış” kartlar bulunur. Herhangi bir hazine kartı, alır almaz veya savaş dışında herhangi bir zamanda kendi sıranızda oynatılabilir (aşağıdaki kurallar veya kartın kendisi aksini söylemedikçe)."
rules.treasures.3,itemler
rules.treasures.4,"Çoğu hazine üründür. itemlerin altın parça değeri vardır. Oyunda sahip olduğunuz tüm itemler “taşınır” olarak kabul edilir. Aslında size bonus veren itemler “donanımlı”. Bir savaş sırasında veya kaçarken itemlerinizin durumunu değiştiremezsiniz. Zırh, bir çift ayak güce ve iki “1 el” itemsi (veya bir “2 el” itemsi). . . Hireling veya hile! gibi bu sınırları göz ardı etmenizi sağlayan bir kartınız yoksa veya kartlardan biri aksini söylemedikçe. Örneğin, iki başlık kartı taşıyorsanız, bunlardan sadece birini bir seferde donatabilirsiniz. Bonusu sadece şu anda bir din adamı olan biri için önemlidir. . Belirli sınıf ve Irk yeteneklerini güçlendirmek için itemleri atabilirsiniz. Ve bir lanet veya bir canavarın kötü eşyaları sizi bir şeyden kurtulmaya zorlayabilir! (Büyük işaretli olmayan herhangi bir item küçük kabul edilir.) Bir diğerini oynamak için büyük bir eşya atamazsınız; İlk eşyayı satmalı, takas etmeli, bir lanete veya kötü şeylere kaybetmeli veya bir sınıf veya Irk yeteneğine güç vermelidir. cüce Irkı) ve bu yeteneği kaybedersiniz, sorunu hemen düzeltmeli veya büyük bir eşya hariç hepsinden kurtulmalısınız. Sıranız varsa ve savaşta değilseniz, fazla büyük eşyaları satabilirsiniz (satmak için en az 1.000 altın parçanız olduğu sürece). Aksi takdirde, onları taşıyabilecek en düşük Levelli oyunculara vermelisiniz! Herhangi bir büyük ürün bırakılırsa, onları atın. Sadece oyunda ticaret yapabilirsiniz - elinizden değil. Sizin veya ticaret ortağınızın savaşta olduğunuz zaman dışında herhangi bir zamanda ticaret yapabilirsiniz - aslında ticaret için en iyi zaman sizin sıranız olmadığı zamandır. Bir ticarette aldığınız herhangi bir ürün oyunda kalmalıdır. Ayrıca, diğer oyunculara bu dönüşte yardım sunmamak için rüşvet vermek için ticaret olmadan eşyaları da verebilirsiniz. <br> <br> Leveller için eşya satmak: Savaş veya kaçma hariç, sıranızdaki herhangi bir noktada, toplam en az 1.000 altın parçaya değecek eşyaları atabilir ve hemen bir Levelye çıkabilirsiniz. (Örneğin) 1.100 altın parçasını atarsanız, değişiklik yapmazsınız. Ancak 2.000 değerini yönetebiliyorsanız, aynı anda iki Levelye çıkabilirsiniz vb. Elinizden ve taşıdığınız eşyalardan eşya satabilirsiniz. Level 10'a gitmek için ürün satamazsınız."
rules.treasures.5,"""Tek atış"" hazineler"
rules.treasures.6,"“Sadece bir kez kullanılabilir” yazan bir hazine kartı “tek atış” hazine olarak adlandırılır. Bunların çoğu savaş sırasında Munchkins veya Canavarları güçlendirmek için kullanılır ve elinizden veya taşıma alanınızdan oynanabilir. Tek seferlik itemler kullanımdan sonra atılır. Altın parça değeri olan tek atış itemler, diğer itemler gibi Leveller için satılabilir."
rules.treasures.7,Diğer Hazineler
rules.treasures.8,"Diğer hazine kartları (bir Level kartlar gibi) item değildir. Bu kartların çoğu ne zaman oynanabileceklerini ve oyunda kalıp kalmadıklarını veya atılmalarını söylüyor. <br> <br> <br> Birkaç özel örnek: <br> <br> Sıranızda veya bir atlama pencereniz olduğunda herhangi bir zamanda kendiniz veya başka bir oyuncu üzerinde oynanabilir. Oynadıktan sonra onları atın. İstisna: Bir oyuncuya kazanan Levelini vermek için bir Level kartını oynayamazsınız! Ancak, savaştayken taşıyacak bir eşya veremezsiniz."
rules.variants.1,Varyantlar
rules.variants.2,Bir oyun oluştururken aşağıdaki varyant kuralları açılıp kapatılabilir.
rules.variants.3,Daha hızlı oyun kuralları
rules.variants.4,"Daha hızlı bir oyun için, Dinle at the Door adlı bir “Faz 0” ekleyebilirsiniz. Başka bir şey yapmadan önce sıranızın başlangıcında, oynayabileceğiniz ya da oynayabileceğiniz bir yüz aşağı kapı kartı çizin. Ardından kartlar düzenleyin ve kapıyı normal şekilde açın. Odayı yağmalıyorsanız, bir kapı değil, yüz aşağı bir hazine çizin."
rules.variants.7,Cinsiyetten tarafsız
rules.variants.8,Cinsiyet Önemli Kartlar oyundan kaldırılır.
rules.combatoverview.1,Savaş Genel Bakış
rules.combatoverview.2,"Bir canavarla savaşmak için savaş gücünü sizinkiyle karşılaştırın. Savaş gücü, Levelnin toplamı ve maddeler ve diğer kartlar tarafından verilen tüm değiştiricilerdir - pozitif veya negatiftir. Canavarın savaş gücü sizinkine eşit veya daha fazlaysa, savaşı kaybedersiniz ve kaçmanız gerekir. Savaş gücünüz canavardan daha fazla ise - canavarların bağ kazandığını unutmayın! - Öldürüyorsunuz ve bir Levelye çıkıyorsunuz (bazı büyük canavarlar için iki Level). Ayrıca kartında gösterilen hazinelerin sayısını da alırsınız. <br> <br> Bazen bir kart canavardan öldürmeden kurtulmanıza izin verir. Bu hala “kazanıyor”, ama bir Levelye sahip değilsiniz. Yetenek aksini söylemedikçe, hazineleri de almazsınız. Son canavar bir savaştan çıkarılırsa, anında sona erer. Bazı kapı kartları da canavar güçlendiriciler gibi bir savaşta oynanabilir."
rules.combatoverview.3,Savaşa müdahale etmek
rules.combatoverview.4,"<br> <br> • Tek seferlik bir kart kullanın. Yanlarını güçlendirmek için tek atış kullanarak başka bir oyuncuya yardım edebilirsiniz. Tabii ki, bunun yerine canavarı “yanlışlıkla” güçlendirebilirsiniz. . . <br> • Bir canavar geliştirici oynayın. Bu kartlar (genellikle) bir canavarı daha güçlü hale getirir. . . Ve ona daha fazla hazine verin. Bunları kendi savaşlarınız sırasında veya başkasının savaşı sırasında oynayabilirsiniz. Savaşta oyuncu, eğer bir hırsızsanız. <br> • Lanet olsun, bir lanet kartınız varsa."
rules.curses.1,Lanet
rules.curses.2,"Kick sırasında yüz yukarı çizilirse, kapı aşamasını açarsa, onları çizen kişiye lanet kartlar uygulanır. Odayı yağmalayarak gibi başka bir şekilde edinilirse, lanet kartlar elinize girer ve sıranızda veya bir atlama pencereniz olduğunda herhangi bir zamanda herhangi bir oyuncu üzerinde oynanabilir. <br> <br> Genellikle,, genellikle,, Bir lanet kurbanını derhal etkiler (eğer yapabilirse) ve daha sonra atılır. Ancak, bazı lanetler daha sonra oyunda bir ceza verir veya sürekli bir etkiye sahiptir. Bu lanetler lanetten kurtuluncaya kadar oyunda kalır veya ceza yürürlüğe girer. <br> <br> Not: Eğer birisi savaştayken size “bir sonraki savaşınız” laneti oynarsa, bu savaşta sayılır! Aynı şey sizin sıranızda oynanan bir “bir sonraki dönüşünüz” laneti için de geçerlidir."
kin.setup.character.raceandclass,İlk Irk ve/veya sınıf mı seçin?
kin.setup.character.raceandclass.opponent,Rakipler karakterlerini yaratıyor
kin.setup.character.items,İlk donanımlı itemler seçilsin mi?
kin.setup.character.items.opponent,Rakipler karakterlerini yaratıyor
kin.setup.character.opponent,Rakipler karakterlerini yaratıyor
kin.jumpin,Bir harekete geçmek ister misiniz?
kin.jumpin.door,[Adı] kapıyı açmadan önce bir harekete geçin mi?
kin.jumpin.attack,[name] canavar (lar) ı yenmeden önce bir harekete geçin mi?
kin.jumpin.beginpursuit,Canavar [isim] arayışına başlamadan önce harekete geçin mi?
